uuid,timestamp,event,dia_min,dia_max,temp_avg,check
1001,2022-03-12 08:05:27,Produce Workpiece,,,,
1001,2022-03-12 10:05:27,Measure Workpiece,2.51,4.76,,
1001,2022-03-12 12:05:27,Put Workpiece in OK Pile,,,,OK
1002,2022-03-12 18:06:47,Produce Workpiece,,,,
1002,2022-03-12 20:06:47,Measure Workpiece,2.68,4.88,,
1002,2022-03-12 22:06:47,Put Workpiece in OK Pile,,,,OK
1003,2022-03-20 14:15:18,Produce Workpiece,,,,
1003,2022-03-20 16:15:18,Measure Workpiece,2.08,4.9,,
1003,2022-03-20 18:15:18,Put Workpiece in Scrap Pile,,,,NOK
1004,2022-03-01 15:06:24,Produce Workpiece,,,,
1004,2022-03-01 17:06:24,Measure Workpiece,2.76,4.65,,
1004,2022-03-01 19:06:24,Put Workpiece in OK Pile,,,,OK
1005,2022-03-03 13:39:32,Produce Workpiece,,,,
1005,2022-03-03 15:39:32,Measure Workpiece,2.37,4.36,,
1005,2022-03-03 17:39:32,Put Workpiece in OK Pile,,,,OK
1006,2022-03-04 17:59:25,Produce Workpiece,,,,
1006,2022-03-04 19:59:25,Measure Workpiece,2.55,4.56,,
1006,2022-03-04 21:59:25,Put Workpiece in OK Pile,,,,OK
1007,2022-03-17 18:04:48,Produce Workpiece,,,,
1007,2022-03-17 20:04:48,Measure Workpiece,2.82,4.05,,
1007,2022-03-17 22:04:48,Put Workpiece in OK Pile,,,,OK
1008,2022-03-10 11:34:22,Produce Workpiece,,,,
1008,2022-03-10 13:34:22,Measure Workpiece,2.55,4.73,,
1008,2022-03-10 15:34:22,Put Workpiece in OK Pile,,,,OK
1009,2022-03-05 08:03:04,Produce Workpiece,,,,
1009,2022-03-05 10:03:04,Measure Workpiece,2.04,4.82,,
1009,2022-03-05 12:03:04,Put Workpiece in Scrap Pile,,,,NOK
1010,2022-03-09 14:48:54,Produce Workpiece,,,,
1010,2022-03-09 16:48:54,Measure Workpiece,2.98,4.94,,
1010,2022-03-09 18:48:54,Put Workpiece in Scrap Pile,,,,NOK
1011,2022-03-08 16:54:32,Produce Workpiece,,,,
1011,2022-03-08 18:54:32,Measure Workpiece,2.85,4.16,,
1011,2022-03-08 20:54:32,Put Workpiece in OK Pile,,,,OK
1012,2022-03-13 17:42:45,Produce Workpiece,,,,
1012,2022-03-13 19:42:45,Measure Workpiece,2.36,4.77,,
1012,2022-03-13 21:42:45,Put Workpiece in OK Pile,,,,OK
1013,2022-03-04 15:02:07,Produce Workpiece,,,,
1013,2022-03-04 17:02:07,Measure Workpiece,2.67,4.35,,
1013,2022-03-04 19:02:07,Put Workpiece in OK Pile,,,,OK
1014,2022-03-18 18:18:49,Produce Workpiece,,,,
1014,2022-03-18 20:18:49,Measure Workpiece,2.43,4.55,,
1014,2022-03-18 22:18:49,Put Workpiece in OK Pile,,,,OK
1015,2022-03-18 10:14:29,Produce Workpiece,,,,
1015,2022-03-18 12:14:29,Measure Workpiece,3.0,4.73,,
1015,2022-03-18 14:14:29,Put Workpiece in OK Pile,,,,OK
1016,2022-03-14 14:16:55,Produce Workpiece,,,,
1016,2022-03-14 16:16:55,Measure Workpiece,2.92,4.51,,
1016,2022-03-14 18:16:55,Put Workpiece in OK Pile,,,,OK
1017,2022-03-10 12:15:40,Produce Workpiece,,,,
1017,2022-03-10 14:15:40,Measure Workpiece,2.93,4.27,,
1017,2022-03-10 16:15:40,Put Workpiece in OK Pile,,,,OK
1018,2022-03-13 13:56:29,Produce Workpiece,,,,
1018,2022-03-13 15:56:29,Measure Workpiece,2.1,4.54,,
1018,2022-03-13 17:56:29,Put Workpiece in Scrap Pile,,,,NOK
1019,2022-03-10 15:46:31,Produce Workpiece,,,,
1019,2022-03-10 17:46:31,Measure Workpiece,2.87,4.23,,
1019,2022-03-10 19:46:31,Put Workpiece in OK Pile,,,,OK
