uuid,timestamp,event,age,amount_loan,yearly_income,random_number,check
1001,2022-02-16 08:39:54,Customer applies,,,,,
1001,2022-02-16 10:39:54,Check application data,50,23263,126779,1894948,
1001,2022-02-16 12:39:54,Normal Check,,,,,Normal Check
1001,2022-02-16 14:39:54,Make Decision,,,,,
1001,2022-02-16 16:39:54,Inform Customer,,,,,
1002,2022-03-01 08:11:55,Customer applies,,,,,
1002,2022-03-01 10:11:55,Check application data,37,95002,23443,1324971,
1002,2022-03-01 12:11:55,Extensive Check,,,,,Extensive Check
1002,2022-03-01 14:11:55,Make Decision,,,,,
1002,2022-03-01 16:11:55,Inform Customer,,,,,
1003,2022-03-04 12:16:56,Customer applies,,,,,
1003,2022-03-04 14:16:56,Check application data,56,99798,600444,1311112,
1003,2022-03-04 16:16:56,Extensive Check,,,,,Extensive Check
1003,2022-03-04 18:16:56,Make Decision,,,,,
1003,2022-03-04 20:16:56,Inform Customer,,,,,
1004,2022-02-21 14:56:58,Customer applies,,,,,
1004,2022-02-21 16:56:58,Check application data,57,88790,519991,1491200,
1004,2022-02-21 18:56:58,Extensive Check,,,,,Extensive Check
1004,2022-02-21 20:56:58,Make Decision,,,,,
1004,2022-02-21 22:56:58,Inform Customer,,,,,
1005,2022-02-16 08:18:14,Customer applies,,,,,
1005,2022-02-16 10:18:14,Check application data,41,33434,871754,1829539,
1005,2022-02-16 12:18:14,Normal Check,,,,,Normal Check
1005,2022-02-16 14:18:14,Make Decision,,,,,
1005,2022-02-16 16:18:14,Inform Customer,,,,,
1006,2022-03-05 12:58:33,Customer applies,,,,,
1006,2022-03-05 14:58:33,Check application data,52,89681,509626,725621,
1006,2022-03-05 16:58:33,Extensive Check,,,,,Extensive Check
1006,2022-03-05 18:58:33,Make Decision,,,,,
1006,2022-03-05 20:58:33,Inform Customer,,,,,
1007,2022-02-18 18:48:29,Customer applies,,,,,
1007,2022-02-18 20:48:29,Check application data,48,32828,31694,327719,
1007,2022-02-18 22:48:29,Normal Check,,,,,Normal Check
1007,2022-02-19 00:48:29,Make Decision,,,,,
1007,2022-02-19 02:48:29,Inform Customer,,,,,
1008,2022-02-16 17:19:26,Customer applies,,,,,
1008,2022-02-16 19:19:26,Check application data,35,11406,417415,291343,
1008,2022-02-16 21:19:26,Simple Check,,,,,Simple Check
1008,2022-02-16 23:19:26,Make Decision,,,,,
1008,2022-02-17 01:19:26,Inform Customer,,,,,
1009,2022-03-02 13:27:38,Customer applies,,,,,
1009,2022-03-02 15:27:38,Check application data,26,54707,756517,236286,
1009,2022-03-02 17:27:38,Normal Check,,,,,Normal Check
1009,2022-03-02 19:27:38,Make Decision,,,,,
1009,2022-03-02 21:27:38,Inform Customer,,,,,
1010,2022-02-14 15:20:02,Customer applies,,,,,
1010,2022-02-14 17:20:02,Check application data,52,81944,989722,1120365,
1010,2022-02-14 19:20:02,Extensive Check,,,,,Extensive Check
1010,2022-02-14 21:20:02,Make Decision,,,,,
1010,2022-02-14 23:20:02,Inform Customer,,,,,
1011,2022-02-21 09:07:31,Customer applies,,,,,
1011,2022-02-21 11:07:31,Check application data,39,44758,477770,564302,
1011,2022-02-21 13:07:31,Normal Check,,,,,Normal Check
1011,2022-02-21 15:07:31,Make Decision,,,,,
1011,2022-02-21 17:07:31,Inform Customer,,,,,
1012,2022-03-02 09:06:13,Customer applies,,,,,
1012,2022-03-02 11:06:13,Check application data,56,64433,897942,1586270,
1012,2022-03-02 13:06:13,Normal Check,,,,,Normal Check
1012,2022-03-02 15:06:13,Make Decision,,,,,
1012,2022-03-02 17:06:13,Inform Customer,,,,,
1013,2022-03-05 11:30:24,Customer applies,,,,,
1013,2022-03-05 13:30:24,Check application data,43,40099,132586,1019987,
1013,2022-03-05 15:30:24,Normal Check,,,,,Normal Check
1013,2022-03-05 17:30:24,Make Decision,,,,,
1013,2022-03-05 19:30:24,Inform Customer,,,,,
1014,2022-02-22 10:41:19,Customer applies,,,,,
1014,2022-02-22 12:41:19,Check application data,33,95745,870203,1447900,
1014,2022-02-22 14:41:19,Extensive Check,,,,,Extensive Check
1014,2022-02-22 16:41:19,Make Decision,,,,,
1014,2022-02-22 18:41:19,Inform Customer,,,,,
1015,2022-02-18 11:51:29,Customer applies,,,,,
1015,2022-02-18 13:51:29,Check application data,48,73507,431510,64251,
1015,2022-02-18 15:51:29,Normal Check,,,,,Normal Check
1015,2022-02-18 17:51:29,Make Decision,,,,,
1015,2022-02-18 19:51:29,Inform Customer,,,,,
1016,2022-03-05 15:02:21,Customer applies,,,,,
1016,2022-03-05 17:02:21,Check application data,47,16366,32068,927539,
1016,2022-03-05 19:02:21,Simple Check,,,,,Simple Check
1016,2022-03-05 21:02:21,Make Decision,,,,,
1016,2022-03-05 23:02:21,Inform Customer,,,,,
1017,2022-03-02 08:28:16,Customer applies,,,,,
1017,2022-03-02 10:28:16,Check application data,38,93073,262738,1112007,
1017,2022-03-02 12:28:16,Extensive Check,,,,,Extensive Check
1017,2022-03-02 14:28:16,Make Decision,,,,,
1017,2022-03-02 16:28:16,Inform Customer,,,,,
1018,2022-02-19 18:23:36,Customer applies,,,,,
1018,2022-02-19 20:23:36,Check application data,28,17639,156093,1966419,
1018,2022-02-19 22:23:36,Simple Check,,,,,Simple Check
1018,2022-02-20 00:23:36,Make Decision,,,,,
1018,2022-02-20 02:23:36,Inform Customer,,,,,
1019,2022-03-04 18:52:06,Customer applies,,,,,
1019,2022-03-04 20:52:06,Check application data,40,81531,443659,366340,
