uuid,timestamp,event,hotel_bookings,price_category
913365834,2022-03-22 01:07:55,Guest request,,
913365834,2022-03-22 11:07:55,Standard prices,13,standard
913365834,2022-03-22 21:07:55,Send offer,,
1043156128,2022-03-23 07:07:55,Guest request,,
1043156128,2022-03-23 17:07:55,Standard prices,82,standard
1043156128,2022-03-24 03:07:55,Send offer,,
1291229693,2022-03-24 13:07:55,Guest request,,
1291229693,2022-03-24 23:07:55,Standard prices,50,standard
1291229693,2022-03-25 09:07:55,Send offer,,
2202111624,2022-03-25 19:07:55,Guest request,,
2202111624,2022-03-26 05:07:55,Standard prices,68,standard
2202111624,2022-03-26 15:07:55,Send offer,,
2353639031,2022-03-27 01:07:55,Guest request,,
2353639031,2022-03-27 11:07:55,Premium prices,93,premium
2353639031,2022-03-27 21:07:55,Send offer,,
2495386354,2022-03-28 07:07:55,Guest request,,
2495386354,2022-03-28 17:07:55,Standard prices,80,standard
2495386354,2022-03-29 03:07:55,Send offer,,
2832504893,2022-03-29 13:07:55,Guest request,,
2832504893,2022-03-29 23:07:55,Standard prices,71,standard
2832504893,2022-03-30 09:07:55,Send offer,,
3417137576,2022-03-30 19:07:55,Guest request,,
3417137576,2022-03-31 05:07:55,Standard prices,11,standard
3417137576,2022-03-31 15:07:55,Send offer,,
3505824491,2022-04-01 01:07:55,Guest request,,
3505824491,2022-04-01 11:07:55,Standard prices,64,standard
3505824491,2022-04-01 21:07:55,Send offer,,
4283011713,2022-04-02 07:07:55,Guest request,,
4283011713,2022-04-02 17:07:55,Standard prices,64,standard
4283011713,2022-04-03 03:07:55,Send offer,,
4947746072,2022-04-03 13:07:55,Guest request,,
4947746072,2022-04-03 23:07:55,Standard prices,31,standard
4947746072,2022-04-04 09:07:55,Send offer,,
5395701262,2022-04-04 19:07:55,Guest request,,
5395701262,2022-04-05 05:07:55,Standard prices,58,standard
5395701262,2022-04-05 15:07:55,Send offer,,
6058510234,2022-04-06 01:07:55,Guest request,,
6058510234,2022-04-06 11:07:55,Standard prices,44,standard
6058510234,2022-04-06 21:07:55,Send offer,,
6682102802,2022-04-07 07:07:55,Guest request,,
6682102802,2022-04-07 17:07:55,Standard prices,40,standard
6682102802,2022-04-08 03:07:55,Send offer,,
6737483993,2022-04-08 13:07:55,Guest request,,
6737483993,2022-04-08 23:07:55,Premium prices,97,premium
6737483993,2022-04-09 09:07:55,Send offer,,
6864582485,2022-04-09 19:07:55,Guest request,,
6864582485,2022-04-10 05:07:55,Standard prices,10,standard
6864582485,2022-04-10 15:07:55,Send offer,,
7673842235,2022-04-11 01:07:55,Guest request,,
7673842235,2022-04-11 11:07:55,Standard prices,54,standard
7673842235,2022-04-11 21:07:55,Send offer,,
8431635315,2022-04-12 07:07:55,Guest request,,
8431635315,2022-04-12 17:07:55,Standard prices,34,standard
8431635315,2022-04-13 03:07:55,Send offer,,
8820555824,2022-04-13 13:07:55,Guest request,,
